size_group,estimand,radius,metric,n_rows,estimate,ci_low,ci_high
all,o2m_pre_topk,0.1,mean_retention,1,1.0,1.0,1.0
all,o2m_pre_topk,0.1,mean_jaccard_among_rank_changed,1,1.0,1.0,1.0
all,o2m_pre_topk,0.1,mean_retention_among_rank_changed,1,1.0,1.0,1.0
all,o2m_assigned_positive,0.1,rank_changed_rate,1,1.0,1.0,1.0
all,o2m_assigned_positive,0.1,set_exact_changed_rate,1,0.0,0.0,0.0
all,o2m_assigned_positive,0.1,rank_changed_set_exact_same_rate,1,1.0,1.0,1.0
all,o2m_assigned_positive,0.1,rank_minus_set_exact_change_rate,1,1.0,1.0,1.0
all,o2m_assigned_positive,0.1,mean_jaccard,1,1.0,1.0,1.0
all,o2m_assigned_positive,0.1,mean_retention,1,1.0,1.0,1.0
all,o2m_assigned_positive,0.1,mean_jaccard_among_rank_changed,1,1.0,1.0,1.0
all,o2m_assigned_positive,0.1,mean_retention_among_rank_changed,1,1.0,1.0,1.0
t_8_16,o2m_legacy,0.1,rank_changed_rate,1,1.0,1.0,1.0
t_8_16,o2m_legacy,0.1,set_exact_changed_rate,1,0.0,0.0,0.0
t_8_16,o2m_legacy,0.1,rank_changed_set_exact_same_rate,1,1.0,1.0,1.0
t_8_16,o2m_legacy,0.1,rank_minus_set_exact_change_rate,1,1.0,1.0,1.0
t_8_16,o2m_legacy,0.1,mean_jaccard,1,1.0,1.0,1.0
t_8_16,o2m_legacy,0.1,mean_retention,1,1.0,1.0,1.0
t_8_16,o2m_legacy,0.1,mean_jaccard_among_rank_changed,1,1.0,1.0,1.0
t_8_16,o2m_legacy,0.1,mean_retention_among_rank_changed,1,1.0,1.0,1.0
t_8_16,o2m_pre_topk,0.1,rank_changed_rate,1,1.0,1.0,1.0
t_8_16,o2m_pre_topk,0.1,set_exact_changed_rate,1,0.0,0.0,0.0
t_8_16,o2m_pre_topk,0.1,rank_changed_set_exact_same_rate,1,1.0,1.0,1.0
t_8_16,o2m_pre_topk,0.1,rank_minus_set_exact_change_rate,1,1.0,1.0,1.0
t_8_16,o2m_pre_topk,0.1,mean_jaccard,1,1.0,1.0,1.0
t_8_16,o2m_pre_topk,0.1,mean_retention,1,1.0,1.0,1.0
t_8_16,o2m_pre_topk,0.1,mean_jaccard_among_rank_changed,1,1.0,1.0,1.0
t_8_16,o2m_pre_topk,0.1,mean_retention_among_rank_changed,1,1.0,1.0,1.0
t_8_16,o2m_assigned_positive,0.1,rank_changed_rate,1,1.0,1.0,1.0
t_8_16,o2m_assigned_positive,0.1,set_exact_changed_rate,1,0.0,0.0,0.0
t_8_16,o2m_assigned_positive,0.1,rank_changed_set_exact_same_rate,1,1.0,1.0,1.0
t_8_16,o2m_assigned_positive,0.1,rank_minus_set_exact_change_rate,1,1.0,1.0,1.0
t_8_16,o2m_assigned_positive,0.1,mean_jaccard,1,1.0,1.0,1.0
t_8_16,o2m_assigned_positive,0.1,mean_retention,1,1.0,1.0,1.0
